ID,URL,Channel Name,Title,Published Date,Duration (sec),View_Count,Like_Count,Comment_Count,Description,hours,year
JOCDmbWliFM,https://www.youtube.com/watch?v=JOCDmbWliFM,Tiarapro,LIVE STREAMING PAGELARAN WAYANG KULIT,2019-08-21 21:16:07+00:00,21272,7195,64.0,6.0,"LIVE STREAMING PAGELARAN WAYANG KULIT
DALNG : KI ALEX BUDI SABDO UTOMO

BINTANG TAMU : GARENG SEMARANG (SUMARBAGYO)




Dalam Acara Tasyakuran Keluarga &
 PERINGATAN HUT RI KE 74 :


Live Simo, Kendal - Ngawi
Rabu, 21 Agustus 2019

Tempat :
Di Rumah Bp. BUDIMAN - Ibu. INTAN
Simo, Kendal - Ngawi

Suport
ALX AUDIO

Kritik & Saran...
TIARA PRO.
WA. 081 335 086 345",5,2019
nA9qwz6hSoE,https://www.youtube.com/watch?v=nA9qwz6hSoE,Yono Shooting,LIVE PENTAS WAYANG KULIT DALANG  KI BIMA SETYA AJI & KI KUKUH BAYU AJI Lakon BABAD ALAS WISOMARTO,2019-12-13 21:57:11+00:00,25066,13406,162.0,5.0,Pagelaran Wayang Kulit Semalam Suntuk Bersama Dalang Duet Ki Bima Setya Aji & Ki KUKUH BAYU AJI  Lakon :” BABAD ALAS WISOMARTO”  Karawitan Candra Birawa Dari Pageralang Banyumas Hp. 0822-4596-2490 Sound System By AL Arya Laras Kalisalak Banyumas Hp.0852-2796-3963     Record By YS Yono Shooting Pageralang Banyumas Hp.0813-2684-1646    Acara Tasyakuran Pernikahan SITI MARISAH Putri Kedua Bpk.Achmad Aswadi & Ibu. Sukinah    Dengan SUPRIYONO Putra Pertama Bpk. Suyanto Nawito & Ibu. Paini Tempat: Dusun Api Api Rt.04  Rw. 03 No. 17  Kec. Nusawungu Kab. Cilacap   Jum`at  13 Desember 2019,6,2019
qvuUaTtP49E,https://www.youtube.com/watch?v=qvuUaTtP49E,JODHIPATI TV,"Wayang Kulit  (20/09/19) Giyaran Saking Radio Jodhipati Fm 106,1 MHz Nganjuk, Jawa Timur",2019-09-20 23:37:02+00:00,31105,518,10.0,0.0,"Wilujeng Miyarsakaken Giyaran Langsung Saking Radio Jodhipati Fm 106,1 MHz Nganjuk, Jawa Timur.... Nuwun #Wayangkulit#Gending#JODHIPATI",8,2019
BremlFKAo6Y,https://www.youtube.com/watch?v=BremlFKAo6Y,HONOCOROKO Live,KI WARSENO SLENK & KI AMAR PRADOPO WAHYU TRI MANGGALA Surakarta Rec 16 Juni 2019,2019-06-18 20:02:57+00:00,19983,11012,72.0,0.0,"HONOCOROKO LIVE VIDEO STREAMING MEMPERSEMBAHKAN
PAGELARAN WAYANG KULIT
KI WARSENO SLENK & KI AMAR PRADOPO ""WAHYU TRI MANGGALA""
Dalam rangka Tasyakuran 
Lokasi Kediaman Bp. H KRA Sri Haryanto Mulyo Nagoro
Bonoloyo Surakarta
Minggu, 16 Juni 2019",5,2019
r3MMCtBbHfI,https://www.youtube.com/watch?v=r3MMCtBbHfI,Dalang Seno,#LiveStreaming Wayangan Rabu Wagen Dalang Ki Sudarno - Petruk Ratu,2019-11-20 20:49:27+00:00,20708,251746,2532.0,267.0,"Pagelaran Wayang Kulit Dalam Rangka Memperingati Weton Ki Seno Nugroho oleh Dalang Ki Sudarno (TU SMKI) Dengan Lakon ""Petruk Ratu""
Yang Bertempat Di Joglo Tunggul Pawenang Gayam, Argosari, Sedayu, Bantul ( Rumah Ki Seno Nugroho ).

Bantul, 20 November 2019",5,2019
b2MGvMd9OcU,https://www.youtube.com/watch?v=b2MGvMd9OcU,Dalang Seno,"#LiveStreaming Wayang Kulit Ki Seno Nugroho ""GARENG PETRUK TAKON BOPO""",2019-05-09 20:07:40+00:00,19363,121027,1721.0,66.0,TBRS Semarang Jawa Tengah 09-05-2019,5,2019
pvts-ZoyEHU,https://www.youtube.com/watch?v=pvts-ZoyEHU,DG CHANNEL,WAYANGAN SPEKTAKULER PEPADI BOYOLALI - BT Abah Kirun & Gareng Bagyo,2019-12-29 20:53:24+00:00,25091,17936,204.0,3.0,"#LiveStreaming
#DGChannel
Pentas wayang spektakuler PEPADI Boyolali menampilkan 15 Dalang dengan lakon BRUBUH NGALENGKA dlm rangka rangkaian Hari Jadi Kabupaten Boyolali Tg 29 Desember 2019 di Monumen Susu Tumpah",6,2019
TVv9FSXZw1Q,https://www.youtube.com/watch?v=TVv9FSXZw1Q,SSY Production,PAGELARAN WAYANG KULIT BERSAMA KI DALANG GURITNO BADEGAN,2019-12-17 21:13:06+00:00,25465,3527,30.0,0.0,"NGUNDUH MANTEN EKO PRASETYO BAYU S & ANIS WAHYUNINGSIH  PUTRA BP. PRAMONO - IBU SUWARNI RT.005 RW.006 DS.PUPUS LEMBEYAN,MAGETAN / BEKERJASAMA DENGAN DEVITA SALON TULONG, KAWEDANAN, MAGETAN. WA.081335712063 / CREW DOKUMENTASI SSY PRODUCTION CALL.WA. 081335952649, TAPEN,LEMBEYAN, MAGETAN",7,2019
qVOFBP34c08,https://www.youtube.com/watch?v=qVOFBP34c08,Tukul jaya Production,"TUKUL JAYA  LIVE STREAMING // Krajan, Sringin, Jumantono // Ngunduh Mantu",2019-08-05 22:05:53+00:00,22189,494,7.0,0.0,"_________________________
| P O W E R D  B Y :            |
_________________________


Karawitan . Wayang Kulit : Dalang KI TARMO, Wukirsawit, Jatiyoso

Broiler Sound : Barat Tugu Sringin, Jumantono



_________________________
| V I D E O  B Y :                  |
_________________________

Tukul Jaya Entertainment - 085 229 587 564.
Beyan, Dawung, Matesih, Karanganyar, Jawa Tengah, Indonesia.",6,2019
jjRpExzNnq0,https://www.youtube.com/watch?v=jjRpExzNnq0,Yahud TV,"PAGELARAN WAYANG KULIT ,DALANG Ki H.WARSITO KLIWIR, GAGAK SIPAT NGEMPLAK BOYOLALI,LAKON ..'""WAHYU TI",2019-12-29 21:10:07+00:00,23694,3736,37.0,2.0,"DALAM RANGKA ,PERNIKAHAN BAHAGIA .ARYATI CHESHARANI
 &
 MUHAMMAD MUSLIMIN,SKOM. 29  DESEMBER 2019  KLAMPOK rT.01/rW.09. NGRECO,WERU SUKOHARJO.,",6,2019
V7-JVf8T-Xc,https://www.youtube.com/watch?v=V7-JVf8T-Xc,HONOCOROKO Live,"WAYANG KULIT KI MPP BAYU AJI PAMUNGKAS , FULL ARTIS PO HARYANTO KUDUS",2019-12-31 21:07:47+00:00,25589,17093,172.0,8.0,"PAGELARAN WAYANG KULIT
KI MPP BAYU AJI PAMUNGKAS
FULL ARTIS
GARASI PO HARYANTO
31 DESEMBER 2019",7,2019
33J5FlLcZzc,https://www.youtube.com/watch?v=33J5FlLcZzc,NONTON WAYANG,KI SENO NUGROHO LAMPAHAN SEMAR BOYONG,2019-02-24 22:29:15+00:00,22600,33639,218.0,4.0,"SIARAN ULANG WAYANG KULIT DALANG KI SENO NUGROHO PWKS LIVE

Pagelaran Wayang Kulit Dalang Ki Seno Nugroho Lakon Semar Boyong Dalam Rangka Memperingati Hari KORPRI Ke 43 dan Hari PGRI Ke 73 Bertempat Di Halaman Balai Kota Malang Jawa Timur, 15 Desember 2018.

Sumber channel resmi PWKS LIVE: https://www.youtube.com/channel/UC94Xm-rGOa3seQZIr0p22vw

MARI KITA MENJAGA DAN MELESTARIKAN BUDAYA NUSANTARA

JANGAN LUPA LIKE DAN SUBSCRIBE

#KISENONUGROHO #BUDAYA #WAYANG",6,2019
T-p3ndSpCzY,https://www.youtube.com/watch?v=T-p3ndSpCzY,RONGGOLAWE NEWS,LIVE STREAMING PAGELARAN WAYANG KULIT DALANG KI KUAT HADI SAMONO LAKON WAHYU TRI TUNGGAL,2019-06-07 23:07:17+00:00,31784,2948,32.0,1.0,"DOKUMENTASI PAGELARAN WAYANG KULIT DALANG KI KUAT HADI SAMONO LAKON WAHYU TRI TUNGGAL DALAM RANGKA TASYAKURAN PURNA BHAKTI BAPAK H.GUNANTO DAN IBU Hj.WARTINI. HARI : JUMAT PON, 07 JUNI 2019. BERTEMPAT DI DUSUN KARANG WETAN, NGIPAK, KARANGMOJO, GUNUNGKIDUL.",8,2019
S6q3uwA5Lwc,https://www.youtube.com/watch?v=S6q3uwA5Lwc,Jo Klithik Entertainment,LIVE PAGELARAN WAYANG KULIT KI WARSENO SLANK BINTANG TAMU JO KLITHIK-JO KLUTHUK,2019-02-08 01:51:04+00:00,39004,7339,73.0,5.0,,10,2019
JPjtKxMRbYo,https://www.youtube.com/watch?v=JPjtKxMRbYo,HONOCOROKO Live,WAYANG KULIT KI MULYONO PURWO WIJOYO - BAROTOYUDHO JOYO BINANGUN,2019-01-02 22:10:46+00:00,24769,7577,86.0,2.0,"DALANG : KI MULYONO PURWO WIJOYO 
CERITERA : BAROTOYUDHO JOYO BINANGUN
DALAM RANGKA BERSIH DESA JIWO WETAN,SEKAR BOLO
WEDI,KLATEN
30 DESEMBER 2016",6,2019
0MXyHwmgZUQ,https://www.youtube.com/watch?v=0MXyHwmgZUQ,Sigid Channel,LIVE WAYANG KULIT [ KI SIGID ARIYANTO ] LAKON SEMAR MBANGUN KAHYANGAN,2019-08-24 21:13:52+00:00,19328,19844,221.0,18.0,"DALAM RANGKA HUT KE- 74 KEMERDEKAAN REPUBLIK INDONESIA
DESA TALOK KECAMATAN KALITIDU KABUPATEN BOJONEGORO - JAWA TIMUR // 24 AGUSTUS 2019. Pelawak : Jolang, Pri Kuntet, Dodo",5,2019
V2F04YnvM3M,https://www.youtube.com/watch?v=V2F04YnvM3M,KUNTADI Channel,"WAYANG KULIT Ki CAHYO KUNTADI ""ASWATAMA LANDHAK""",2019-09-15 21:45:31+00:00,25706,34979,306.0,14.0,"LIVESTREAMING PERGELARAN RINGGIT PURWA 
Dalang : Ki CAHYO KUNTADI
Ceritera : ASWATAMA LANDHAK
Bersama Bintang Bintang Madhangkara :
Sukesi Rahayu, dkk

HARI  / TANGGAL : MINGGU, 15 SEPTEMBER 2019
TEMPAT                  : DESA MORANG, KEC. KARE, KAB. MADIUN
ACARA                    : BERSIH DESA 





LIVESTREAMING KUNTADI CHANNEL",7,2019
ymevAcxVcQM,https://www.youtube.com/watch?v=ymevAcxVcQM,STUDIO 7 POLOKARTO,"Pagellaran wayang sedalu natas Dalang KI. Bayu Aji # jaban,Kemasan,Polokarto. 27 Oktober 2019",2019-10-27 21:40:42+00:00,27716,37343,239.0,27.0,Live STUDIO 7  27 Oktober  2019,7,2019
MIRJ4AutFQc,https://www.youtube.com/watch?v=MIRJ4AutFQc,HONOCOROKO Live,Wayang Kulit KI AAN BAGUS SAPUTRA PANDAWA KUMPUL,2019-08-27 22:16:38+00:00,25515,6158,52.0,4.0,"Pagelaran Wayang Kulit 
Dalang KI AAN BAGUS SAPUTRA
Ceritera : Pandawa Kumpul
Bintang Tamu : Badut Wonogiri
Jatibedug Purworejo Wonogiri Jawa Tengah
Selasa, 27 Agustus 2019",7,2019
wEVD6h9PQkc,https://www.youtube.com/watch?v=wEVD6h9PQkc,Dalang Seno,#LiveStreaming KI SENO NUGROHO - BANJARAN KRESNA - 24122019,2019-12-24 21:46:27+00:00,23203,290299,3204.0,125.0,"PAGELARAN WAYANG KULIT OLEH DALANG KI SENO NUGROHO DENGAN LAKON ""BANJARAN KRESNA"" YANG BERTEMPAT DI HALAMAN DINAS SOSIAL PROVINSI DAERAH ISTIMEWA YOGYAKARTA, BANGUNTAPAN, BANTUL


BANTUL, 24 DESEMBER 2019",6,2019
OUlgb7nVxC8,https://www.youtube.com/watch?v=OUlgb7nVxC8,PWKS LIVE,WAYANG KULIT DALANG KI SENO NUGROHO LAKON BANDUNG NAGASEWU,2019-09-23 21:43:50+00:00,23301,132814,944.0,35.0,"PAGELARAN WAYANG KULIT DALANG KI SENO NUGROHO LAKON BANDUNG NAGASEWU DALAM RANGKA MERTI DESA KESONGO. HARI : SENIN, 23 SEPTEMBER 2019. BERTEMPAT DI LAPANGAN NGENTAKSARI, DESA KESONGO, KEC. TUNTANG, KAB SEMARANG JAWA TENGAH. CP PWKS LIVE WA/TLP 087839062255, 087732151592.

https://youtu.be/OUlgb7nVxC8

#pwkslive 
#pwks 
#wayangkulit 
#kisenonugroho",6,2019
FBQxNig5lqI,https://www.youtube.com/watch?v=FBQxNig5lqI,arie wibisono,WAYANGAN SEDALU NATAS KI DALANG SUNARDI,2019-06-13 23:42:54+00:00,18721,2622,26.0,3.0,DJIRRO MEDIA PATUK KIDUL BATURETNO 081393275553,5,2019
bVmrsqRA3pU,https://www.youtube.com/watch?v=bVmrsqRA3pU,Anjani Solo,"Pergelaran Wayang Kulit Dua Dalang, Persembahan Pepadi Surakarta.",2019-06-22 20:55:41+00:00,23334,1995,22.0,1.0,"Pergelaran Wayang Kulit Dua Dalang, Persembahan Pepadi Surakarta. Oleh Dalang Ki Widodo Jendul S.Sn. dan Ki Pujiyono, S.Sn, Lakon ""Brajadenta Mbalelo"", Kerjasama Dengan Dinas Kebudayaan dan Pariwisata Kota Surakarta, Bertempat di Pendopo Gedhe Balai Kota Surakarta, Hari Sabtu, 22 Juni 2019. Anjani Solo",6,2019
3mHqgX8572A,https://www.youtube.com/watch?v=3mHqgX8572A,SALINDA 797,LIVE Wayang Kulit KI SAMIJAN HADI SUWITO - Rabine WISANGGENI,2019-05-02 22:02:23+00:00,29806,5956,73.0,0.0,"#LIVE #Salinda797 #WAYANGKULIT
PAGELARAN WAYANG KULIT KI SAMIJAN HADI SUWITO.
RESEPSI PERNIKAHAN INDIRA DENGAN YUGO.
LANGSUNG DARI DUKUH PALAMARTA DESA JATIJAJAR KECAMATAN AYAH KABUPATEN KEBUMEN JAWA TENGAH.
DISIARKAN MELALUI RADIO MADU FM 89.4 MHz dan YouTube SALINDA797 PRODUCTION.
DIDUKUNG OLEH IRVAN STUDIO DAN PAK PIK PUK.
Live Streaming Leather Puppets",8,2019
gNTAEo8ReII,https://www.youtube.com/watch?v=gNTAEo8ReII,AEL PROJECT,"LIVE PAGELARAN WAYANG KULIT DALANG""EKO WISNU PRILAKSONO""  KARANGROWO-JAKENAN-PATI",2019-07-26 21:44:34+00:00,25163,2360,46.0,0.0,"LIVE PAGELARAN WAYANG KULIT DALAM RANGKA BERSIH DESA/SHODAKOH BUMI  DESA KARANGROWO-JAKENAN -PATI 26 JULI 2019
DALANG""EKO WISNU PRILAKSONO"" 

#AKBAR_AUIDO
#A_EL_VIDEO",6,2019
L9Idkeg-c5s,https://www.youtube.com/watch?v=L9Idkeg-c5s,Sanggar Cemara,Live  Wayang Kulit HWN.  KI MANTEB SUDARSONO. Lakon Wahyu Darmo.,2019-11-06 21:45:28+00:00,24233,39223,339.0,6.0,"SANGGAR CEMARA 

Pagelaran Wayang Kulit

Dalang : KI MANTEB SUDARSONO
Lakon : Wahyu Darmo

Dalam Rangka Hari Wayang Dunia & Nasional 2019
Halaman Kantor RRI Semarang, Jalan Ahmad Yani, Semarang.
Rabu, 6 November 2019",6,2019
tnS8EHnCGf4,https://www.youtube.com/watch?v=tnS8EHnCGf4,HVS Sragen,Live Streaming Wayang Kulit Dalang Ki Greng | Samanta Audio | HVS Sragen Crew 2 Live Gambaran,2019-06-30 22:08:29+00:00,23113,12841,89.0,2.0,"Video Dokumentasi Pagelaran Wayang Kulit Dalang Ki Ikhawn Susanto, S.Sen (Ki Greng) Kanti Lakon Kalampahan ""Langgeng Ing Bebrayan"" // Ngunduh Temanten Bg. Ali Nuri Saputro Putra Bp.Sunardi (RT)-Ibu Poniyem, A.Ma dengan Rr. Desi Fiki Rahayu, S.Kep.Ns Putri Bp. Jianto-Ibu Solikatin // Acara diselenggarakan Pada Hari : Minggu Legi 30 Juni 2019 // Bertempat di : Gambaran RT.19 A, Gabugan, Tanon, Sragen *** Kerja Bareng : Karawitan DONO LARAS - Hp. 08132901442 - D/a : Gambaran, Gabugan, Tanon, Sragen // Sound System : SAMANTA - Ibu Purwanti Rias // Video Shooting : HAFIS [ HVS SRAGEN ] READY VIDE HD/FULL HDTelp. 081393358936..",6,2019
q2PEXaCuy5c,https://www.youtube.com/watch?v=q2PEXaCuy5c,DALANG RUDI GARENG,#live Wayang Kulit  Ki Rudi Gareng BT Gareng Salatiga & Lusi Brahman diPrambon Nganjuk,2019-06-21 21:25:33+00:00,24398,10081,118.0,1.0,"Live pagelaran wayang kulit KI RUDI GARENG bersama SANGGAR SENI ""CAKRA BUDAYA INDONESIA"" dengan lakon ""SEMAR MBANGUN KAHYANGAN""  dalam rangka sepasaran manten "" NELISA YUNITA TANTRI, S.E & APRIONGGO TRI PURYANTO"" dimerihkan oleh Gareng Salatiga & ning Lusi Brahman bertempat dirumah Bpk. Hasim Dsn bringin Ds. Bandung Kec. Prambon Kab, Nganjuk
Sanggar seni Cakra budaya Indonesia Saking Ngadirejo Kec Kepanjen Kidul Kota Blitar Jln DI Panjaitan No,57 No Telp : 081334300334 & 085773928794

#Live_Streaming
#cakrabudayaindonesia
#kirudigareng
#Dalang_metal
#Viral
#trending
#Dalang_Metal
#Rudigareng
#Lalicaraneturu
#S_K_D
#Waguguyon
#Sinden

Jangan Lupa Subscribe like
Siaran Langsung",6,2019
2NEqY4dEyIo,https://www.youtube.com/watch?v=2NEqY4dEyIo,Sanggar Cemara,WAYANG KULIT. Ki Seno Nugroho. Lakon Mbangun Candi Sapto Argo. Timasan 23 Mei 2013,2019-07-18 22:52:28+00:00,24965,275765,2313.0,174.0,"SANGGAR CEMARA

Pagelaran Wayang Kulit

Dalang: Ki Seno Nugroho
Lakon : Mbangun Candi Sapto Argo
Tempat : Dalem Timasan, Sukoharjo 

Dalam rangka peringatan 1000 hari meninggalnya Ibu Sri Sayuti Anom Suroto, 23 Mei 2013...

di dokumentasikan oleh Sri Tanjung Video Shooting",6,2019
hab7qwPzC5w,https://www.youtube.com/watch?v=hab7qwPzC5w,DAEHAN SHOTING,WAYANG KULIT KI SENO NUGROHO,2019-10-02 22:18:57+00:00,29314,1658,28.0,5.0,"PAGELARAN WAYANG KULIT DALAM RANGKA PERINGATAN HUT RI KE 74 DAN HARI KESAKTIAN PANCASILA TAHUN 2019 TINGKAT KECAMATAN GRABAG, RABU 2 OKTOBER 2019  ||DILIPUT DAEHAN VIDEO SHOOTING CP. SUPRIYANTO 081 392 542 631",8,2019
KbgcTxD5xuE,https://www.youtube.com/watch?v=KbgcTxD5xuE,Charier Javanesse,🔴SIARAN TUNDA WAYANG KULIT KI SENO NUGROHO - LAKON PETRUK JENDRAL,2019-10-16 23:24:41+00:00,25009,2479,11.0,0.0,#PWKS #WLCLASSIC#KISENONUGROHO,6,2019
EVQHoUcEsnY,https://www.youtube.com/watch?v=EVQHoUcEsnY,Sigid Channel,KI SIGID ARIYANTO LIVE VIHARA SADDA GIRI - GUNUNGWUNGKAL - PATI,2019-10-25 21:47:08+00:00,22729,44879,438.0,20.0,"LIVE PAGELARAN WAYANG KI DALANG SIGID ARIYANTO
LAKON: KUNJARAKARNA
VIHARA SADDA GIRI - GUNUNGWUNGKAL - PATI
JUMAT, 25 OKTOBER 2019",6,2019
WRIZJ-1CRbA,https://www.youtube.com/watch?v=WRIZJ-1CRbA,Dalang Seno,"#LiveStreaming Wayang Kulit Ki Seno Nugroho ""SEMAR mBANGUN KHAYANGAN""",2019-04-30 22:35:44+00:00,21417,148125,1978.0,81.0,"Pagelaran Wayang Kulit Semalam Suntuk oleh Dalang Ki Seno Nugroho dengan Lakon Semar mBangun Khayangan yg bertempat di Lapangan Bola Tiron, Madiun 30-04-2019",5,2019
uR3CBjnzikA,https://www.youtube.com/watch?v=uR3CBjnzikA,HONOCOROKO Live,Wayang Kulit KI Mulyono Purwo Wijoyo - WAHYU WIJI WASESA,2019-02-28 21:02:48+00:00,19929,4146,42.0,0.0,"Pergelaran Wayang Kulit Bersama Dalang : KI Mulyono Purwo Wijoyo
Dengan Ceritera : ""WAHYU WIJI WASESA"" 
Rekaman Selasa 19 Februari 2019
Mliwis Cepogo, Boyolali,Jawa Tengah.",5,2019
Q4M_re3MCaw,https://www.youtube.com/watch?v=Q4M_re3MCaw,Doni Production,#LIVE PAGELARAN WAYANG KULIT KI SUMANTO S.Sn,2019-12-29 20:18:51+00:00,19453,3228,33.0,2.0,"PAGELARAN WAYANG KULIT Dalam Rangka Tsyakuran Pernikahan “Dimas Eka Prastyawan & Dyah Ayu Palupi“Keluarga Bpk.Prayitno Suryo Mego DG.S.E Dusun Tengah, Desa Muneng, Kec. Balong, Kab. Ponorogo  Didokumentasikan DONI PRODUCTION DURI, SLAHUNG, PONOROGO",5,2019
